organization_name,contact_name,email,domain,role_title,sector,region,buyer_type,likely_need,product_angle,evidence_url,evidence_note,source,priority_score,confidence,recommended_message_angle,risk_flags
Aguas Araucanía,,,aguasaraucania.cl,Equipo de laboratorio / contacto empresa,Agua y utilities,La Araucanía,laboratorio_agua,Análisis acreditados de agua potable en alta frecuencia,incubadoras; balances; sample prep; QC de agua,https://www.aguasaraucania.cl/noticia_2-19_aguas-araucania-realiza-cerca-de-50-mil-analisis-del-agua-consumida-en-la-region-en-un-ano-010422174540,Noticia oficial indica cerca de 50 mil análisis anuales y trabajo continuo del laboratorio,sitio_oficial,85,alta,Ofrecer equipos para autocontrol continuo y mejora de tiempos en análisis de agua,lead_status=net_new_candidate; sin_email_publico
Esval,,,esval.cl,Laboratorio / contacto empresa,Agua y utilities,Valparaíso,laboratorio_agua,Laboratorio de calidad de agua y servicios de muestreo/análisis,incubadoras; balances; QC agua; sample prep,https://legales.elmostrador.cl/c_avisos/imagenes/EsvalS.A.Publicaci%C3%B3n_Laboratorio_30.05.2013.pdf,Documento público identifica Laboratorio Esval en Viña del Mar,documento_publico + sitio_corporativo,78,media,Mensaje orientado a laboratorio sanitario y necesidades de reposición de equipos,lead_status=net_new_candidate; sin_email_publico
Aguas del Valle,,,aguasdelvalle.cl,Laboratorio / contacto empresa,Agua y utilities,Coquimbo,laboratorio_agua,17 mil análisis mensuales de agua potable y licitaciones de muestreo/análisis,incubadoras; balances; QC agua; sample prep,https://www.aguasdelvalle.cl/personas/noticias/listado-de-noticias/calidadaguapotable/,Noticia oficial reporta volumen mensual de análisis del laboratorio,sitio_oficial,82,alta,Ofrecer equipo robusto para alto volumen analítico y continuidad operativa,lead_status=net_new_candidate; sin_email_publico
Colun,,,colun.cl,Calidad e inocuidad,Alimentos y bebidas,Los Ríos,qc_alimentos,"Controles microbiológicos, fisicoquímicos y sensoriales de productos lácteos,centrífugas; balances; incubadoras; homogenización",https://www.colun.cl/la-magia-del-sur/origen-y-destino-de-nuestra-leche,Sitio oficial describe controles microbiológicos, fisicoquímicos y sensoriales,sitio_oficial,74,alta,Hablar de equipamiento para QC lácteo y análisis rutinarios de alta frecuencia,lead_status=net_new_candidate; sin_email_publico
Watt's,,,watts.cl,Control de calidad y desarrollo,Alimentos y bebidas,Los Lagos / Maule / RM,qc_alimentos,Laboratorio de control de calidad y desarrollo; microbiología y control de proceso,incubadoras; balances; centrifugación; sample prep,https://www.watts.cl/docs/default-source/newsletter/reglamento_interno_watts_-6-mayo-2020.pdf?sfvrsn=0.2546290214219187&status=Temp,Documento corporativo describe analistas de laboratorio y microbiología en planta,documento_corporativo,72,media,Propuesta para control de calidad y desarrollo con foco en reposición y estandarización,lead_status=net_new_candidate; sin_email_publico
Laboratorios SAVAL,,lab@savalcorp.com,savalcorp.com,Contacto corporativo,Farmacéutica y cosmética,Región Metropolitana,qc_farmaceutico,"Manufactura farmacéutica y control de calidad,balances analíticas; incubadoras; microcentrífugas; sample prep",https://www.savalcorp.com/es/contacto.html,Sitio oficial con e-mail corporativo y operación industrial en Renca,sitio_oficial,79,alta,Enfatizar cumplimiento, trazabilidad y soporte técnico para QC farmacéutico,lead_status=net_new_candidate
Laboratorio Chile,,,laboratoriochile.cl,Canal proveedores / empresa,Farmacéutica y cosmética,Región Metropolitana,qc_farmaceutico,Planta farmacéutica con potencial de compras vía proveedores,balances; incubadoras; microcentrífugas; sample prep,https://www.laboratoriochile.cl/proveedores/,Portal oficial de proveedores de Laboratorio Chile,sitio_oficial,73,media,Entrar por canal de proveedores destacando soporte local y documentación,lead_status=net_new_candidate; sin_email_publico
Laboratorio Bagó de Chile,,,bagochile.cl,Contacto corporativo,Farmacéutica y cosmética,Región Metropolitana,qc_farmaceutico,Manufactura farmacéutica y QA/QC asociada,balances; incubadoras; microcentrífugas; sample prep,https://bagochile.cl/,Sitio oficial del laboratorio farmacéutico,sitio_oficial,72,media,Perfil comercial orientado a modernización de QC y equipos de preparación de muestras,lead_status=net_new_candidate; sin_email_publico
Knop Laboratorios,,,knoplabs.com,Infraestructura / producción,Farmacéutica y cosmética,Región Metropolitana,qc_farmaceutico,Planta con infraestructura productiva y controles de calidad GMP/ISO,balances analíticas; incubadoras; microcentrífugas; sample prep,https://www.knoplabs.com/,Sitio oficial resalta infraestructura e innovación,sitio_oficial,71,media,Ofrecer equipamiento de QC con énfasis en documentación y confiabilidad,lead_status=net_new_candidate; sin_email_publico
Instituto de Salud Pública de Chile,,,ispch.gob.cl,Cotizaciones / laboratorio,Sector público y hospitales,Región Metropolitana,public_tender_opportunity,"Compra reciente de incubadoras refrigeradas, microcentrífuga refrigerada, autoclaves, cabina y otros equipos,centrífugas refrigeradas; incubadoras; balances; sonicador; sample prep,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=c84i2e+6nsGkq7MM0kjnyw%3D%3D",Licitación PP 22.2025 y otras licitaciones ISP muestran demanda multisección de equipos,mercado_publico + sitio_oficial,98,alta,Responder con equivalencias técnicas, instalación, capacitación y plan de mantención,lead_status=public_tender_opportunity
Hospital Dr. Hernán Henríquez Aravena,,,,Unidad de compras / laboratorio clínico,Sector público y hospitales,La Araucanía,public_tender_opportunity,"Adquisición de estufa incubadora CO2 para servicio de laboratorio clínico,incubadoras CO2; balances; equipamiento hospital-lab",https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1380-288-LE25,Licitación adjudicada 2025 para laboratorio clínico del hospital,mercado_publico,92,alta,Enfocar en incubación clínica/laboratorio con soporte, instalación y cumplimiento técnico,lead_status=public_tender_opportunity; sin_email_publico
Servicio de Salud Viña del Mar-Quillota / HPMM,Humberto Segovia,humberto.segovia@redsalud.gob.cl,redsalud.gob.cl,Gestor de contrato,Sector público y hospitales,Valparaíso,public_tender_opportunity,"Centrífugas de laboratorio HPMM con responsable de contrato público,centrífugas clínicas/laboratorio; refrigeradas; mantención",https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2026-115-LP24,Licitación adjudicada para CENTRIFUGAS DE LABORATORIO HPMM,mercado_publico,97,alta,Entrar por reposición, mantención y equivalencias técnicas para centrífugas,lead_status=public_tender_opportunity
Hospital Dr. Rafael Avaria de Curanilahue,,,,Unidad de compras / laboratorio clínico,Sector público y hospitales,Biobío,public_tender_opportunity,Compra de centrífuga digital de sobremesa refrigerada para sección de tuberculosis,centrífugas refrigeradas; rotores bioseguros; servicio técnico,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2098-226-LE23,Bases técnicas detallan requerimiento para Laboratorio Clínico y Sección Tuberculosis,mercado_publico,96,alta,Presentar propuesta de centrífuga refrigerada con bioseguridad y mantención preventiva,lead_status=public_tender_opportunity; sin_email_publico
Hospital de Lota,,,,Unidad de laboratorio clínico,Sector público y hospitales,Biobío,follow_up_hospitalario,Licitación por insumos/reactivos con equipamiento en comodato para laboratorio clínico,acceso por comodato; reposición de equipos; soporte hospitalario,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=dwigRxy%2FWbFDWcMXGCvIKA%3D%3D,Mercado Público muestra demanda de equipamiento en comodato para la Unidad de Laboratorio,mercado_publico,70,alta,Abordar como oportunidad de equipamiento ligado a servicios/reactivos o renovación de parque instalado,lead_status=follow_up_candidate; low_fit
Fondo para Hospitales de Carabineros de Chile,,,carabineros.cl,Unidad de compra,Sector público y hospitales,La Araucanía,follow_up_hospitalario,Equipamiento e instrumental para consultorio Angol; oportunidad a seguir si aparecen lotes de laboratorio,equipamiento clínico-lab y seguimiento de bases de compra pública,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=4642-194-LP25,Licitación adjudicada 2025 para equipamiento del consultorio Angol,mercado_publico,58,media,Mantener como radar de compras públicas; priorizar solo si aparecen lotes técnicos de laboratorio,lead_status=low_priority
Hospital Clínico Universidad de Chile,,ccorporativas@hcuch.cl,hcuch.cl,Contacto corporativo / laboratorio clínico,Sector público y hospitales,Región Metropolitana,laboratorio_clinico_hospitalario,"Laboratorio clínico con tecnología de última generación, control de calidad e investigación",centrífugas clínicas; microcentrífugas; incubadoras; balances; apoyo pre-analítico,https://www.redclinica.cl/plantilla/laboratorio-clinico.aspx,Sitio oficial del laboratorio clínico y página UChile con correo corporativo,sitio_oficial,85,alta,Posicionar actualización de equipamiento de laboratorio clínico universitario con foco en investigación y formación,same_organization_review
Laboratorio Clínico UC CHRISTUS,,,ucchristus.cl,Mesa central / laboratorio clínico,Sector público y hospitales,Región Metropolitana,laboratorio_clinico_hospitalario,Laboratorio clínico multisitio con toma de muestras y operación hospitalaria,centrífugas clínicas; microcentrífugas; incubadoras; balances,https://www.ucchristus.cl/examenes-y-procedimientos/laboratorio-clinico/sobre-el-laboratorio/laboratorios,Sitio oficial del Laboratorio Clínico UC CHRISTUS,sitio_oficial,78,alta,Abrir por red de laboratorios y toma de muestras con foco en estandarización,sin_email_publico
Clínica Alemana de Valdivia Laboratorio Clínico,,laboratoriocav@alemana.cl,alemana.cl,Laboratorio clínico,Sector privado salud,Los Ríos,laboratorio_clinico_hospitalario,"Laboratorio clínico con hematología, microbiología, química, inmunología y biología molecular",centrífugas clínicas; microcentrífugas; incubadoras; balances,https://www.clinicaalemanavaldivia.cl/servicios-medicos-y-clinicos/laboratorio-clinico,Página oficial del laboratorio clínico con correo y teléfono directos,sitio_oficial,74,alta,Propuesta para renovación puntual de equipos de apoyo a laboratorio clínico,lead_status=net_new_candidate
Codelco División Salvador,,,codelco.com,Laboratorio químico / metalurgia,Minería y geoquímica,Atacama,laboratorio_minero,Participación en ensayo de aptitud de concentrado de cobre,balances; sample prep; homogenización; QC mineral,https://www.inn.cl/sites/default/files/metrologia/_documents/pean-2018/Informe_C-1804.pdf,Informe INN de ensayo de aptitud lista a División Salvador como laboratorio participante,INN,72,media,Abrir conversación por equipamiento de preparación de muestras y soporte a laboratorio minero,lead_status=net_new_candidate; validar_contacto_publico
ENAMI Laboratorio Planta Vallenar,,,enami.cl,Laboratorio químico,Minería y geoquímica,Atacama,laboratorio_minero,Operación de laboratorio minero evidenciada en ensayo de aptitud de cobre,balances; sample prep; homogenización,https://www.inn.cl/sites/default/files/metrologia/_documents/pean-2018/Informe_C-1804.pdf,Informe INN lista a ENAMI Laboratorio Planta Vallenar como participante,INN,70,media,Enfocar en equipamiento de apoyo para laboratorio minero y control metalúrgico,lead_status=net_new_candidate; validar_contacto_publico
Laboratorio Químico Pucobre,,,pucobre.cl,Laboratorio químico,Minería y geoquímica,Atacama,laboratorio_minero,Laboratorio participante en ensayo de aptitud de concentrado de cobre,balances; sample prep; homogenización,https://www.inn.cl/sites/default/files/metrologia/_documents/pean-2018/Informe_C-1804.pdf,Informe INN lista al Laboratorio Químico Pucobre como participante,INN,69,media,Proponer equipos de preparación de muestra y precisión para control geometalúrgico,lead_status=net_new_candidate; validar_contacto_publico
Minera Candelaria,,,lundinmining.com,Laboratorio químico / metalurgia,Minería y geoquímica,Atacama,laboratorio_minero,Participación de laboratorio en ensayo de aptitud de concentrado de cobre,balances; sample prep; homogenización,https://www.inn.cl/sites/default/files/metrologia/_documents/pean-2018/Informe_C-1804.pdf,Informe INN lista a Minera Candelaria como laboratorio participante,INN,68,media,Entrar por laboratorio metalúrgico y necesidades de equipamiento de apoyo,lead_status=net_new_candidate; validar_contacto_publico
